"","Tm","Year","Player","Pos","Age","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PTS","All.Star","prevAS","W.L.","conf","tv","prop.G","tvf","big.m","med.m","small.m","east"
"3247","SAS",2019,"Jakob Pöltl","C",23,77,1273,19.4,0.64,0,0.317,15.4,19.7,17.6,10,1.1,4.5,12.7,13.1,3.5,1.6,5.1,0.193,1.5,2.7,4.2,2,187,290,0.645,0,0,0,187,290,0.645,49,92,178,232,5.32467532467532,1.20779220779221,29,68,48,5.49350649350649,0,0,0.585,"west",0.924,0.939024390243902,"small",0,0,1,0
"3248","SAS",2018,"Joffrey Lauvergne","C",26,55,534,16.5,0.536,0.026,0.247,13,22.6,17.8,12.2,0.9,0.5,13.5,20.4,0.6,0.7,1.3,0.12,-1.4,-0.1,-1.6,0.1,98,190,0.516,0,5,0,98,185,0.516,30,47,63,108,3.10909090909091,0.745454545454545,9,3,33,4.10909090909091,0,0,0.573,"west",0.924,0.670731707317073,"small",0,0,1,0
"3249","SAS",2019,"DeMar DeRozan","SG",29,77,2688,19.6,0.542,0.034,0.336,2.2,16.4,9.4,27.6,1.6,1.1,11.7,27.9,3.6,2.6,6.3,0.112,0.4,0.5,0.9,2,631,1313,0.481,7,45,0.156,624,1268,0.483,366,441,54,408,6,6.16883116883117,86,36,199,21.2337662337662,0,1,0.585,"west",0.924,0.939024390243902,"small",0,0,1,0
"3250","SAS",2013,"Boris Diaw","PF",30,75,1709,11.9,0.603,0.235,0.196,4.7,12,8.6,15,1.6,1.1,18.9,12,2.2,2.3,4.4,0.124,-0.1,1.9,1.8,1.6,179,332,0.539,30,78,0.385,149,254,0.584,47,65,66,188,3.38666666666667,2.4,52,27,84,5.8,0,0,0.707,"west",0.924,0.914634146341463,"small",0,0,1,0
"3251","SAS",2016,"Boris Diaw","PF",33,76,1386,14,0.582,0.18,0.198,4.9,13.9,9.6,18.4,1,1.2,18.9,17,1.6,2.2,3.8,0.132,-0.1,1.4,1.2,1.1,202,383,0.527,25,69,0.362,177,314,0.56,56,76,58,175,3.06578947368421,2.31578947368421,26,21,97,6.38157894736842,0,0,0.817,"west",0.924,0.926829268292683,"small",0,0,1,0
"3252","SAS",2012,"Tiago Splitter","C",27,59,1121,20.5,0.649,0,0.528,9.7,21.4,15.7,9.2,1,3,17.1,20.7,3,1.6,4.6,0.197,1.1,1.4,2.5,1.3,212,343,0.618,0,0,0,212,343,0.618,125,181,93,213,5.1864406779661,1.10169491525424,21,47,87,9.30508474576271,0,0,0.758,"west",0.924,0.893939393939394,"small",0,0,1,0
"3253","SAS",2015,"Boris Diaw","PF",32,81,1984,12.7,0.526,0.267,0.147,4.5,15.2,10,17.9,0.9,0.9,15.8,18.3,1.3,2.3,3.6,0.088,-0.6,0.7,0.1,1.1,291,632,0.46,54,169,0.32,237,463,0.503,72,93,78,270,4.2962962962963,2.87654320987654,36,23,126,8.74074074074074,0,0,0.671,"west",0.924,0.98780487804878,"small",0,0,1,0
"3254","SAS",2010,"Richard Jefferson","SF",29,81,2520,13.1,0.551,0.241,0.37,2.7,13.6,8.3,9.6,0.9,1.1,10.4,18.3,3,3,6,0.113,-0.3,0.6,0.3,1.5,362,775,0.467,59,187,0.316,303,588,0.505,211,287,58,298,4.39506172839506,1.95061728395062,45,40,105,12.2716049382716,0,0,0.61,"west",0.924,0.98780487804878,"small",0,0,1,0
"3255","SAS",2015,"Aron Baynes","C",28,70,1122,15.9,0.618,0.012,0.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,2.3,1.6,3.9,0.166,-0.7,-0.2,-1,0.3,185,327,0.566,1,4,0.25,184,323,0.567,90,104,109,209,4.54285714285714,0.5,16,22,65,6.58571428571429,0,0,0.671,"west",0.924,0.853658536585366,"small",0,0,1,0
"3256","SAS",2009,"Roger Mason","SG",28,82,2496,11.9,0.554,0.479,0.144,0.8,11.1,6,11.1,0.9,0.4,10.3,18.9,1.9,2.9,4.7,0.091,0,-0.4,-0.4,1,349,822,0.425,166,394,0.421,183,428,0.526,105,118,16,235,3.0609756097561,2.10975609756098,40,12,100,11.8170731707317,0,0,0.659,"west",0.924,1,"small",0,0,1,0
"3257","SAS",2009,"Tony Parker","PG",26,72,2456,23.4,0.556,0.051,0.287,1.3,9.4,5.4,40.1,1.5,0.1,11.6,31.7,5.6,3,8.6,0.168,3.9,-0.8,3.1,3.2,639,1263,0.506,19,65,0.292,620,1198,0.513,284,363,27,196,3.09722222222222,6.88888888888889,67,4,186,21.9583333333333,1,1,0.659,"west",0.924,0.878048780487805,"small",0,0,1,0
